,Location,Newspaper,Date,Text,URL,Language,Nationality_1,Name_1,Name,Nickname,Nationality,Profession,Body,Height_1,Height_2,Age_1,Age,Instrument,Man,Woman,Women,Men,Men_final,Women_final,Height,Reward,Reward_converted,Reward_amount
13,Bas-Canada,Quebec Gazette,1778-07-23,"RUN away on Friday night the 10th intant, from Mr Prentice's, a Mulatto fellow called Jacob, about eighteen years of age, had on when  he went away a light brown sustian short Coat, white cloth Waistcoat and Breeches and a round Hat, about five feet inches high, well made and very active, speaks little or no French. Whoever secures and brings said Mulatto to Mr Miles Prentice in Quebec, or to Mr Thomas Richardson, at the Cofee-House Montreal, shall have recieve FOUR DOLLARS Reward and resonable charges.  All Captains and Masters of vessels are desired not to take on board. Quebec, July 22, 1778.",https://www.marronnage.info/fr/document.php?id=11619,en,[],['called Jacob'],[],['jacob'],[],[],[],[],[],['eighteen '],[18],[],[],[],[],[],[],[],[],['four dollars'],[87],[4]
14,Bas-Canada,Quebec Gazette,1778-08-20,"RAN AWAY from my service, on Tuesday night the 18th instant, A Mulatto Negres named BELL. I do hereby promise a reward of FOUR DOLLARS to any person who will apprehend said Negres and bring her to me, or lodge her in his Majesty's goal in Quebec. She wore when she went away a striped woolen jacket and petticoat, and had no shoes or stocking on. I do caution all persons from harbouring said Negres, as I am determined to punish any person in whose custody the may be found to the utmost rigour of the law. QUEBEC, August 19, 1778. GEO: HIPPS",https://www.marronnage.info/fr/document.php?id=11621,en,[],['named BELL'],['bell'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['four dollars'],[87],[4]
15,Bas-Canada,Quebec Gazette,1778-11-05,"RUN away from Mr George Hipps on Thursday last, a Mulatto wench named BELL, this is to give notice, that any person or persons wharsoever who harbours the said Girl may depend that he will go to the utmost rigour of the Law. When she  went away away she had upon her Callico Gown and Petticoat, and dress's cap, and a black ssilk Handkerchief.  
",https://www.marronnage.info/fr/document.php?id=11622,en,[],['named BELL'],['bell'],[],[],[],[],[],[],[],[],[],[],"['wench', 'Girl']",[],[],[],"[1, 1]",[],[],[],[]
16,Bas-Canada,Quebec Gazette,1778-12-24,"RANAWAY from the Printing-Office in Quebec, on Tuesday last about five o'clock in the evening, a Negro Lad named JOE, born in Africa, about twenty years of age, about five feet an half high, full roud fac'd, a little marked with the small-pox, speaks English and French tolerably; he had on when he went away an old green furs cap a dark ratteen Coat and double-breaster Jacke of the same, with yellow gilt buttons to each, a pair of black Manchester velvet Breechers, grey worsted  stockings and a pair of Indian Macassins. All persons are hereby forewarned from harbouring or aiding him to escape, as they may depend on being prosecuted to the utmost of the Law, and whoever will give information where he is harboured. or bring him back, shall have FOUR DOLLARS Reward from THE PRINTER. 
",https://www.marronnage.info/fr/document.php?id=11624,en,[],['named JOE'],['joe'],[],[],[],[],[],[],['twenty '],[20],[],['Lad'],[],[],[],[1],[],[],['four dollars'],[87],[4]
17,Bas-Canada,Quebec Gazette,1779-07-29,"RUN-AWAY from the Subscriber, A Negro Slave named Ishmaël, about 35 years old,  5 feet 8 inches high, pretty much marked with the small-pox, wears his own Hair which is black, long and curly; has black Eyes, broad Shoulders, and tone of voice peculiar to New-England, where he was born; reads English tolerably well, and can speaks a little French: He had on an old Hat bedawbed with white Paint, an Ozenbrig Frock and Trowlers, a check Shirt, a short white Paint, and a pair of Mochinsons. If any person apprehends said NEGRO, and gives notice thereof to the Subsciber living at the Batoe-gate, he or she shall receive TEN DOLLARS Reward, besides all reasonable Cherges; but, whoever carries him off, entertains, or employs him after this public notice, will be prosecuted according to the Law",https://www.marronnage.info/fr/document.php?id=11626,en,[],['named Ishmaël'],['ishmael'],[],[],[],"['hair', 'eyes']",['5  8'],"[5, 8]",['35 '],[35],[],[],[],[],[],[],[],[68],['ten dollars'],[246],[10]
18,Bas-Canada,Quebec Gazette,1779-09-23,"From the Printing-Office in Quebec, on Tursday last about seven o'Clock in the evening, a Negro Lad named JOE, born in Africa, about twenty years of age, about five feet an half high, full roud fac'd, a little marked with the small-pox, speaks English and French tolerably; he had on when he went away a dark ratteen Coat tore about the arms, and double-breaster Jacke of the same, with yellow gilt buttons to each; greasy leather breeches, old thread Srockings, and a pair of Canadian Macassins. All persons are hereby forewarned from harbouring or aiding him to escape, ands Masters of Vessels to escape from carrying off, as they may depend on being prosecuted to the utmost of the Law, and whoever will give information where he is harboured. or bring him back, shall have FOUR DOLLARS Reward from THE PRINTER. 
",https://www.marronnage.info/fr/document.php?id=11628,en,[],['named JOE'],['joe'],[],[],[],[],[],[],['twenty '],[20],[],['Lad'],[],[],[],[1],[],[],['four dollars'],[98],[4]
19,Bas-Canada,Quebec Gazette,1779-09-30,"RUNAWAY from the Ship Susannah, Captain Ballantine, on Monday evening last, a black Boy named Jno THOMSON, height about 5 feet 3 or 4 unches, born in Spanish-Townm Jamaica, had on when he went away a brown Waistcoat with a flannel wrapped and black knith Breechers, without any Stockings. Whoever brings the same Boy to Mr. Simon Fraser's or on board the same ship, shall receive ONE GUINEA Reward.",https://www.marronnage.info/fr/document.php?id=11630,en,[],['named Jno THOMSON'],['jno thomson'],[],[],[],[],['5  3'],"[5, 3]",[],[],[],"['Boy', 'Boy']",[],[],[],"[1, 1]",[],[63],['one guineas'],[285],[1]
20,Bas-Canada,Quebec Gazette,1779-11-04,"RAN-AWAY From the Subscriber, on Sunday morning the 24th ult. about four o'Clock, a Negro Lad named NEMO, born in Albany, near eighteen years of age, about five feet high, full round fac'd, a little mark'd with the small pox, speaks English and French tolerably; he had on when he went away a double breasted Jacket on strip'd flannel, old worsted Stocking, and a pair of English Shoes. Also a Negro Wench named CASH, twenty-six years old, about 5 feet 8 inches high, speaks English and French very fluently; she carried with her a considerable quantity of Linen and other valuable Effects not her own; and as she has also taken with her a large bundel of wearing apparel belonging to herself, consisting of a black sattin Cloak, Cap Bonnets, Ruffles, Robbons, six or seven Petticoats, a pair of  old Stays, and many other articles of value wich cannot be asecertained, it is likely the may change her dress. All persons are hereby forewarned from harbouring or aiding them to espace, and Masters of vessels from carrying them off, as they may depend on being prosecuted to the utmost rigour of the Law; and whoever will give information where they are harboured, or bring them back to the Subscriber at Quebec, or to Mr Goeorges Ross, Merchant at Sorel, shall have TEN DOLARS Reward for each, and all reasonable charges. HUGH RITCHIE . N.B. The Lad was seen on Friday morning the 29 ult. and there is reason to believe they are both lurking thereabout.  Quebec, November 2, 1779",https://www.marronnage.info/fr/document.php?id=11632,en,[],"['named NEMO', 'named CASH']","['nemo', 'cash']",[],[],[],[],"['five  high', '5  8']","[5, 0, 5, 8]","['eighteen ', 'twenty-six ']","[18, 26]",[],"['Lad', 'Lad']",['Wench'],[],[],"[1, 1]",[1],"[60, 68]",[],[],[]
21,Bas-Canada,Quebec Gazette,1780-08-10,"RANAWAY from Carleton-Island the 18th July last, a Negro Lad named FORTUNE, about 25 Years of Age, 5 feet 5 inches high, as lost the toes off his right Foot, speaks Englias and a little French, had on when he ran away a red Jacket, coarse Shirt, and canvas Trownsers. Whoever secures said Negro so that his Master may recover him again, shall recieve EIGHT DOLLARS Reward and all reasonable Expences paid by the Printer or Mr. Murray of Montreal, and any one thet harbours or conceals, &c. said Negro will be prosecuted as the Law directs.",https://www.marronnage.info/fr/document.php?id=11634,en,[],['named FORTUNE'],['fortune'],[],[],[],[],['5  5'],"[5, 5]",['25 '],[25],[],['Lad'],[],[],[],[1],[],[65],['eight dollars'],[175],[8]
22,Bas-Canada,Quebec Gazette,1781-10-04,"RUN away from the susbcriber, the 27th of June last, a Negro man named NERO, 24 years of age, about 5 feet nine inches high; took with him a short blue Coat lined with red serge; a short grey Coat; one ditto of green blanket; a double breasted green Jacket, one ditto of Ticken with Trowsers of the same, a Fustian waistcoat and breeches.- Whoever apprenhends the said negro and secures him, so that his Master may have him, shall receive FIFTY SHILLINGS Reward and all reasonable charges  paid, by applying to Mr. Willliam Laing in Quebec, if the Negro should be taken near it, but if near Montreal apply to the owner. JOHN MITTLEBERGER N.B. All persons are hereby forbid to harbour or employ the above described slave, or they may depend on being prosecuted with the utmost rigour of the Law, all Captains or Vessels and others, are forewarned not to carry him off at their peril, strick search will be made and Warrants are issued for that purpose. Montreal, 24th August, 1781.",https://www.marronnage.info/fr/document.php?id=11636,en,[''],['named NERO'],['nero'],[],[''],[],[],[],[],['24 '],[24],[],['man'],[],[],[],[1],[],[],[],[],[]
23,Bas-Canada,Quebec Gazette,1783-08-14,"RAN AWAY From the Subscriber, on Thursday the 31 st Ult. A Negre Lad named CHARLES, about 20 years of age, four feet or five inches high, with a white mark in the right side of his forehead; speaks English and a little French and German;  had on when he went away, a short grey jacket, and large linen trowsers. Whoever will give information of him and put him again in my hands, shall have THREE GUINEAS Reward. PRE GUEROUT Quebec, August 7, 1783.",https://www.marronnage.info/fr/document.php?id=11638,en,[],['named CHARLES'],['charles'],[],[],[],"['forehead', 'hands']",['four '],"[4, 0]",['20 '],[20],[],['Lad'],[],[],[],[1],[],[48],['three guineass'],[],[]
24,Bas-Canada,Quebec Gazette,1784-03-11,"FOURTEEN DOLLARS Reward. RUN-AWAY, from the Subscriber, a Negro-Man, named ISHMAEL, about 36 years of age, and nearly 5 Feet 6 Inches high; of a remarkably down-cast Countenance, and a black and copper couloured mixt Complexion; his Hair is short, strong black and curly; and his face much pitted with the small Pox. He wants some of his Upper-fore Theeth, as likewise the first Joint of the Fourth Finger of his left Hand; and besides, on the middle of his Right-Leg, he has a fresh Eschar from a horse Kick lately received and cured; had on when he went off, a round Hat Cocked up behind and blue silk Band; a red plush Waistcoat; a pair of blue Bath coating Leggings and Breeches in one; and a Pair of Shoes and Metal Buckles. He came from Claverac near Albany in 1776, with his former Master, C. Spencer; can speak and read English tolerably well, and understands a little Dutch and French; he passes himself, 'tis said, as a Free Negro, the more easily to effect uniticed dis intended Escape out of the Province. Whoever will apprehend the said Negro=Man, and deliver hi to the Subscriber, Merchant, Montreal, shall receeive the above Reward and all reasonable Charges from JOHN TURNER, Montreal, March I, 1784.",https://www.marronnage.info/fr/document.php?id=11639,en,[],['named ISHMAEL'],['ishmael'],[],[],[],"['hair', 'face', 'hand']",[],[],['36 '],[36],[],"['Man', 'Man']",[],[],[],"[1, 1]",[],[],['fourteen dollars'],[412],[14]
25,Bas-Canada,Quebec Gazette,1784-09-09,"RAN AWAY FROM The Subscriber on Thursday the 12 th August last, a Negro man named Tight; about twenty-eight years of age, about 5 feet 8 inches high, speaks English and a little German; he went way in company with a Negro man belonging to Capt. Laforce named Snow, tall and slender, who speaks English and French. They were seen crossing the River ST Lawrence from the South side to l'Assomption about the first instant, and suppose to have gone towards the lake behind Montreal. Whoever will apprehends the first mentioned Negro named Tight, and secure him so tightly that his master may have him again, shall have Forty Shillings reward, and all reasonable charches, paid by Mr Christy Cramer, Merchant in Montreal, of the Subscriber in Quebec.",https://www.marronnage.info/fr/document.php?id=11641,en,[],"['named Tight', 'named Snow', 'named Tight']","['tight', 'snow', 'tight']",[],[],[],[],['5  8'],"[5, 8]",['twenty-eight '],[28],[],"['man', 'man']",[],[],[],"[1, 1]",[],[68],[],[],[]
26,Bas-Canada,Quebec Gazette,1785-06-09,"RAN AWAY the 28th or 29th of last Month, A NEGRO MAN nammed CUFF, about 28 years of age, 5 feet 8 inches high; had when he went away, a white shirt, a drab coloured waistcoat, the sleeves of old stocking, a blue great coat, round hat, with a band and buckle, a pair of green leggins, and black buckles on his shoes; he has some scars on his temples, and a scar on one of his hands. Whoever apprehend him and bring him to the Subscriber, shall have SIX DOLLARS reward, and all reasonable charhes paid, Captains of vessels and others are requested not to harbour or carry off said Negro. Elizabeth Mc NIELL Quebec, 6th June 1785",https://www.marronnage.info/fr/document.php?id=11643,en,[],[],[],[],[],[],['hands'],['5  8'],"[5, 8]",['28 '],[28],[],['MAN'],[],[],[],[1],[],[68],['six dollars'],[186],[6]
27,Bas-Canada,Montreal Gazette,1785-09-29,"RUN AWAY, on Thursday morning last from the Subscriber, A Mulatto man Named Tom BROOKS, Aged Thirty years, about five feet eight inches high, strong made, had on a Mixed Brown Coat and Weastcoat, Green trowsers, a white Beaver hat with broad Gold-lace; speaks English and French perfectly; was in Company with one Richard Sutton by trade a carpenter, who had on a blue Jacketm a pair of white trowsers and new hat. Whoever Secures the said Mullatto or Sutton, so that the Subscriber may be informer of it, shall have a Reward of Five Pounds. ROBT. M. GUTHRIE Quebec Supt. 22d. 1785.",https://www.marronnage.info/fr/document.php?id=11645,en,[],['Named Tom BROOKS'],[],[],[],[],[],['five  eight'],"[5, 8]",['Thirty '],[30],[],['man'],[],[],[],[1],[],[68],['five pounds'],[1225],[5]
28,Bas-Canada,Quebec Gazette,1786-02-23,"BROKE out of his Majesty's Goal the 18th February, 1786, between the hour of six and eleven o'clock in the morning, JOHN PETERS a Criminal, about five feet eight inches high, had on him a brown coat, westcoat and breeches, a pair of Indian shoes and a round hat, has a fair complexion, thin visage and fair hair, round shoulders, and about thirty years of age.- ALSO' JOE, a Negro man, the property of Mr William Brown, printer, had on him a blue great coat, a red outdsideJacket, a white under Jacket, and black breeches, and a rounf hat, of a sulky look, thick lips, and about five feet eight inches high. Whoever will apprehend the said Prisonners, so as may be returned to his Majesty's Goal, shall receives a Reward of FIVE POUND Currency for each, by applying to Jas. Shepherd, Esq. Sherriff, or to John Hill, [goal]-keeper. And all person Whatsoever that harbour or shelter the said prisoners, shall be prosecuted to the utmost off the Law.",https://www.marronnage.info/fr/document.php?id=11647,en,[],[],[],[],[],[],"['hair', 'lips']","['five  eight', 'five  eight']","[5, 8, 5, 8]",['thirty '],[30],[],['man'],[],[],[],[1],[],"[68, 68]",[],[],[]
29,Bas-Canada,Quebec Gazette,1786-05-04,"Broke out of His Majest'ys Gaol in Quebec, on Saturday morning the 18th of February last, A NEGRO MAN SLAVES named JOE, born in Africa, twenty-six years of age, about five feet seven inches high, a little pitted with the small-pox, has several scars on his legs, speaks English and French fluently, and is trade a Pressman; he had on him when he broke out a blue great coat, a red out-side jacket, a white under Jacket and round hat. He was seen some time ago in the parish of l'Ange Gardien below the salls of Montmotescy. All persons are hereby forewarned from harbouring or aiding  him to escape, as they may depend on being prosecuted to the utmost rigour of the law: and whoever will give information where he is harboured, so as that he may be again, shall receive THREE GUINEAS Reward from the Printer of the Gazette.",https://www.marronnage.info/fr/document.php?id=11649,en,[],['named JOE'],['joe'],[],[],[],[],[],[],['twenty-six '],[26],[],['MAN'],[],[],[],[1],[],[],['three guineass'],[],[]
30,Bas-Canada,Quebec Gazette,1787-03-08,"Quebec, 6th March, 1787. RAN-AWAY From the Subscriber, between the hours of seven and eight o'clock, yesterday evening, a NEGRO WENCH named BETT, about eighteen years old, middle stature, speaks the English, French and German languages well; had on when she went away, a blue Kersey Jacket and Pettycoat, a dark cotton Cap with yellow strings, and an Indian Shawl round heer neck, was big with child, and within a few days of her time. Whoever will apprehends said Negress, and secure her return, shall be paid A REWARD of TWENTY DOLLARS, and all reasonable expences. Any person who may harbour or conceal the said Negres, will be prosecuted to the rigour of the law, by JOHNSTON  & PURSS.",https://www.marronnage.info/fr/document.php?id=11651,en,[],['named BETT'],['bett'],[],[],[],[],[],[],['eighteen '],[18],[],[],['WENCH'],[],[],[],[1],[],['twenty dollars'],[647],[20]
31,Bas-Canada,Quebec Gazette,1787-11-08,"THE WIDOW PERRAULT gives notice to the Public, that her NEGRO Servant, known under the name of Alexis, made his escape from her house a few days ago; the therefore forewarns all persons who may harbour or give him a strong liquor, or make him work, that will be prosecuted to the utmost rigour of the law. 
",https://www.marronnage.info/fr/document.php?id=11653,en,[],['name of Alexis'],['alexis'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
32,Bas-Canada,Quebec Gazette,1788-04-17,"RUN away on Sunday last the 13 th instant, from the suscribers, a NEGRO MAN named Caleb, aged about twenty-six or twenty-seven years, five feet eight inches high, had on when he went off a dark blew great coat, drab coat and vest, dark blue breeches, white stockings and round hat; All persons are required not to harbour or employ the said Negro Slave, or they will be prosecuted according to law. Any person who will bring and deliver him up at Quebec, shall have all reasonable expences paid, and be rewarded by MATEW & JOHN MACNIDERS Quebec, 16th April, 1788.",https://www.marronnage.info/fr/document.php?id=11655,en,[],['named Caleb'],['caleb'],[],[],[],[],['five  eight'],"[5, 8]",['twenty-seven '],[27],[],['MAN'],[],[],[],[1],[],[68],[],[],[]
33,Bas-Canada,Quebec Gazette,1788-05-08,"RUN away on the 24th instant, a Negro Boy named BEN, about thirteen years of age, five feet four or five inches high, black hair, and very streight; had on when he went off a blue round jacket and trowsers, and a round hat. Whoever will apprehend the said boy and return him to master at Mr Levy Solomons', shall receive FIVE POUNDS Reward, and all necessary expences paid. All persons whatsover winthin this province, as well as masters of vessels, are forewarned to harbour oe employsaid Mulattoe, under pain of being prosecuted as the law directs. Montreal, 5th June, 1788 M. MICHAELS",https://www.marronnage.info/fr/document.php?id=11657,en,[],['named BEN'],['ben'],[],[],[],['hair'],['five  four'],"[5, 4]",['thirteen '],[13],[],"['Boy', 'boy']",[],[],[],"[1, 1]",[],[64],['five pounds'],[1175],[5]
34,Bas-Canada,Quebec Gazette,1788-06-19,"RUN away on the 24th instant, a Mulatto Boy named BEN, about thirteen years of age, five feet four or five inches high, black hair, and very streight; had on when he went off a blue round jacket and trowsers, and a round hat. Whoever will apprehend the said boy and return him to his master at Mr Levy Solomons's, shall be well rewarded and all expences paid. All persons are forewarned to harbour or employ aid negro, under pain of being prosecuted as the law directs.",https://www.marronnage.info/fr/document.php?id=11659,en,[],['named BEN'],['ben'],[],[],[],['hair'],['five  four'],"[5, 4]",['thirteen '],[13],[],"['Boy', 'boy']",[],[],[],"[1, 1]",[],[64],[],[],[]
